"datetime","estimatedALBActiveConnectionCount"
"2022-06-05T02:02:00Z",4
"2022-06-05T02:03:00Z",3.5
"2022-06-05T02:04:00Z",3.5
"2022-06-05T02:05:00Z",3.5
"2022-06-05T02:06:00Z",3
"2022-06-05T02:07:00Z",15.5
"2022-06-05T02:08:00Z",14
"2022-06-05T02:09:00Z",12
"2022-06-05T02:10:00Z",13.5
"2022-06-05T02:11:00Z",7.5
"2022-06-05T02:12:00Z",14.5
"2022-06-05T02:13:00Z",10.5
"2022-06-05T02:14:00Z",11.5
"2022-06-05T02:15:00Z",15.5
"2022-06-05T02:16:00Z",7.5
"2022-06-05T02:17:00Z",16.5
"2022-06-05T02:18:00Z",16.5
"2022-06-05T02:19:00Z",7.5
"2022-06-05T02:20:00Z",18
"2022-06-05T02:21:00Z",8
"2022-06-05T02:22:00Z",8
"2022-06-05T02:23:00Z",18
"2022-06-05T02:24:00Z",18
"2022-06-05T02:25:00Z",18
"2022-06-05T02:26:00Z",18
"2022-06-05T02:27:00Z",18
"2022-06-05T02:28:00Z",8
"2022-06-05T02:29:00Z",18.5
"2022-06-05T02:30:00Z",18.5
"2022-06-05T02:31:00Z",18
"2022-06-05T02:32:00Z",18
"2022-06-05T02:33:00Z",17.5
"2022-06-05T02:34:00Z",7.5
"2022-06-05T02:35:00Z",17.5
"2022-06-05T02:36:00Z",17.5
"2022-06-05T02:37:00Z",17.5
"2022-06-05T02:38:00Z",17.5
"2022-06-05T02:39:00Z",17.5
"2022-06-05T02:40:00Z",8
"2022-06-05T02:41:00Z",17.5
"2022-06-05T02:42:00Z",17.5
"2022-06-05T02:43:00Z",17.5
"2022-06-05T02:44:00Z",17.5
"2022-06-05T02:45:00Z",17.5
"2022-06-05T02:46:00Z",6
"2022-06-05T02:47:00Z",4
"2022-06-05T02:48:00Z",3.5
"2022-06-05T02:49:00Z",4
"2022-06-05T02:50:00Z",14
"2022-06-05T02:51:00Z",14
"2022-06-05T02:52:00Z",14
"2022-06-05T02:53:00Z",14
"2022-06-05T02:54:00Z",14
"2022-06-05T02:55:00Z",23
"2022-06-05T02:56:00Z",23
"2022-06-05T02:57:00Z",18
"2022-06-05T02:58:00Z",18
"2022-06-05T02:59:00Z",18
"2022-06-05T03:00:00Z",18.5
"2022-06-05T03:01:00Z",18.5
"2022-06-05T03:02:00Z",18.5
"2022-06-05T03:03:00Z",18.5
"2022-06-05T03:04:00Z",6
"2022-06-05T03:05:00Z",4
"2022-06-05T03:06:00Z",3.5
"2022-06-05T03:07:00Z",13.5
"2022-06-05T03:08:00Z",14
"2022-06-05T03:09:00Z",22.5
"2022-06-05T03:10:00Z",22.5
"2022-06-05T03:11:00Z",18
"2022-06-05T03:12:00Z",17.5
"2022-06-05T03:13:00Z",17.5
"2022-06-05T03:14:00Z",17.5
"2022-06-05T03:15:00Z",18
"2022-06-05T03:16:00Z",18
"2022-06-05T03:17:00Z",18
"2022-06-05T03:18:00Z",18
"2022-06-05T03:19:00Z",18.5
"2022-06-05T03:20:00Z",18.5
"2022-06-05T03:21:00Z",8.5
"2022-06-05T03:22:00Z",4
"2022-06-05T03:23:00Z",4
"2022-06-05T03:24:00Z",14
"2022-06-05T03:25:00Z",14
"2022-06-05T03:26:00Z",14
"2022-06-05T03:27:00Z",14
"2022-06-05T03:28:00Z",14
"2022-06-05T03:29:00Z",14
"2022-06-05T03:30:00Z",23
"2022-06-05T03:31:00Z",18
"2022-06-05T03:32:00Z",13
"2022-06-05T03:33:00Z",18
"2022-06-05T03:34:00Z",18
"2022-06-05T03:35:00Z",18
"2022-06-05T03:36:00Z",18
"2022-06-05T03:37:00Z",18
"2022-06-05T03:38:00Z",13
"2022-06-05T03:39:00Z",8
"2022-06-05T03:40:00Z",8
