"datetime","estimatedProcessedBytes"
"2022-06-05T02:02:00Z",1760
"2022-06-05T02:03:00Z",7358
"2022-06-05T02:04:00Z",4148
"2022-06-05T02:05:00Z",3584
"2022-06-05T02:06:00Z",3622
"2022-06-05T02:07:00Z",6541782
"2022-06-05T02:08:00Z",13050455
"2022-06-05T02:09:00Z",988322
"2022-06-05T02:10:00Z",33702484
"2022-06-05T02:11:00Z",18295701
"2022-06-05T02:12:00Z",15752544
"2022-06-05T02:13:00Z",34529678
"2022-06-05T02:14:00Z",1739445
"2022-06-05T02:15:00Z",36460351
"2022-06-05T02:16:00Z",22754999
"2022-06-05T02:17:00Z",15741726
"2022-06-05T02:18:00Z",39464961
"2022-06-05T02:19:00Z",3705858
"2022-06-05T02:20:00Z",34650388
"2022-06-05T02:21:00Z",24875872
"2022-06-05T02:22:00Z",5110
"2022-06-05T02:23:00Z",12318501
"2022-06-05T02:24:00Z",39773140
"2022-06-05T02:25:00Z",39632026
"2022-06-05T02:26:00Z",39644462
"2022-06-05T02:27:00Z",39914310
"2022-06-05T02:28:00Z",29482835
"2022-06-05T02:29:00Z",9814703
"2022-06-05T02:30:00Z",39432291
"2022-06-05T02:31:00Z",40166115
"2022-06-05T02:32:00Z",40268964
"2022-06-05T02:33:00Z",40115598
"2022-06-05T02:34:00Z",29675870
"2022-06-05T02:35:00Z",8846147
"2022-06-05T02:36:00Z",39780726
"2022-06-05T02:37:00Z",40258305
"2022-06-05T02:38:00Z",40038819
"2022-06-05T02:39:00Z",40021778
"2022-06-05T02:40:00Z",30455530
"2022-06-05T02:41:00Z",7782982
"2022-06-05T02:42:00Z",39711901
"2022-06-05T02:43:00Z",40145294
"2022-06-05T02:44:00Z",40272532
"2022-06-05T02:45:00Z",39984817
"2022-06-05T02:46:00Z",32188937
"2022-06-05T02:47:00Z",7736
"2022-06-05T02:48:00Z",2590
"2022-06-05T02:49:00Z",4450
"2022-06-05T02:50:00Z",7735953
"2022-06-05T02:51:00Z",12444887
"2022-06-05T02:52:00Z",12581066
"2022-06-05T02:53:00Z",12502380
"2022-06-05T02:54:00Z",12544030
"2022-06-05T02:55:00Z",12136674
"2022-06-05T02:56:00Z",20510835
"2022-06-05T02:57:00Z",26419204
"2022-06-05T02:58:00Z",26420677
"2022-06-05T02:59:00Z",26465141
"2022-06-05T03:00:00Z",25848241
"2022-06-05T03:01:00Z",26366382
"2022-06-05T03:02:00Z",32665090
"2022-06-05T03:03:00Z",39476724
"2022-06-05T03:04:00Z",20630182
"2022-06-05T03:05:00Z",3612
"2022-06-05T03:06:00Z",3470
"2022-06-05T03:07:00Z",5338009
"2022-06-05T03:08:00Z",13532013
"2022-06-05T03:09:00Z",13835308
"2022-06-05T03:10:00Z",17854376
"2022-06-05T03:11:00Z",27024719
"2022-06-05T03:12:00Z",27025797
"2022-06-05T03:13:00Z",26981925
"2022-06-05T03:14:00Z",27012080
"2022-06-05T03:15:00Z",27005539
"2022-06-05T03:16:00Z",29683571
"2022-06-05T03:17:00Z",40030037
"2022-06-05T03:18:00Z",40011703
"2022-06-05T03:19:00Z",40167437
"2022-06-05T03:20:00Z",40230040
"2022-06-05T03:21:00Z",32270969
"2022-06-05T03:22:00Z",3747
"2022-06-05T03:23:00Z",3638
"2022-06-05T03:24:00Z",1884916
"2022-06-05T03:25:00Z",13524267
"2022-06-05T03:26:00Z",13749876
"2022-06-05T03:27:00Z",13616670
"2022-06-05T03:28:00Z",13747130
"2022-06-05T03:29:00Z",13738890
"2022-06-05T03:30:00Z",13435936
"2022-06-05T03:31:00Z",20714907
"2022-06-05T03:32:00Z",20682284
"2022-06-05T03:33:00Z",20653529
"2022-06-05T03:34:00Z",20855374
"2022-06-05T03:35:00Z",20797894
"2022-06-05T03:36:00Z",20958332
"2022-06-05T03:37:00Z",33284759
"2022-06-05T03:38:00Z",33728099
"2022-06-05T03:39:00Z",2137408
"2022-06-05T03:40:00Z",5086
