k8s_taewa_3lite_,12,k8s,taewa,"[403, 424, 445, 381, 369, 308, 355, 323, 373, 326, 356, 318, 353, 354, 445, 407, 382, 412, 466, 457, 359, 431, 367, 511, 358, 322, 348, 347, 439, 399, 421, 453, 350, 415, 376, 321]",511,385,308,"[49011, 44060, 44789, 53164, 52620, 54277, 53359, 53331, 54504, 52418, 52286, 53747, 53864, 51686, 55341, 45886, 45816, 43718, 54087, 54709, 51521, 46654, 52155, 51774, 49038, 52446, 49834, 44706, 45680, 43354, 52503, 52433, 46033, 44086, 42553, 43793]",55341,49757,42553,"[93.23448076105056, 94.0304765626397, 95.96755156040051, 99.42083612807204, 99.40759125027375, 99.63800342445741, 99.56021017492094, 98.85453523185721, 99.7051641864619, 99.54769078637939, 99.19772744442311, 99.37366952491739, 99.6072504076214, 98.49289441667692, 99.45162835675701, 97.93160491188591, 96.14047628653447, 95.46049245622105, 99.36054988713437, 98.43499829621987, 96.3770865885818, 99.31474233563728, 97.45583849320751, 92.15967376106568, 99.19698564773542, 99.14775137302267, 99.56239767064066, 86.8967302701031, 93.52583633585023, 87.49727969224023, 96.86621489351312, 97.21606506014211, 95.87770333808932, 88.47845178358166, 95.06537189801038, 91.42392977918716]",99.71,96.64,86.90,"[285, 46, 140, 407, 174, 122, 213, 256, 405, 147, 259, 392]",407,237,46,"cpu=70 pods=6 treads=70 sc_min=14 warmup=90"
asg_taewa_3lite_,11,asg,taewa,"[666, 414, 641, 663, 408, 692, 561, 607, 652, 642, 627, 673, 690, 436, 663, 600, 585, 570, 414, 640, 625, 640, 385, 611, 623, 608, 653, 621, 666, 712, 691, 676, 660]",712,607,385,"[53003, 53003, 53289, 64202, 64849, 65120, 44707, 45808, 46983, 42916, 42420, 42527, 55017, 55361, 55424, 54587, 54172, 54179, 49727, 50122, 49087, 45302, 44589, 43179, 54647, 54489, 54642, 49508, 49595, 49694, 61874, 61306, 61673]",65120,52333,42420,"[59.90902335564806, 59.63430910606516, 59.771040290515295, 60.45392210217457, 60.59537049235687, 60.61666489319657, 61.16995452642704, 60.80132632376129, 61.17905707900607, 59.924525670577566, 60.00701342867765, 59.60539016258114, 60.85552526282894, 60.67772064271448, 61.11439160969345, 60.55414520560104, 60.33254853028416, 61.03090396633246, 61.02855848985127, 61.042682685013546, 61.120856343593516, 59.36790662977452, 59.49961982400199, 58.7760595777684, 60.66189392675102, 60.04774705096049, 60.25320135834381, 60.61708486566919, 60.67504636891025, 60.699293381455426, 60.63766010447551, 63.96082444317352, 60.40327495126777]",63.96,60.52,58.78,"[1729, 1415, 809, 1840, 1408, 1610, 1413, 1309, 1417, 1319, 1715]",1840,1453,809,"cpu=35 pods=NA treads=70 sc_min=14 warmup=90"
k8s_apache_3_,13,k8s,apache,"[372, 388, 405, 402, 421, 627, 326, 341, 521, 450, 357, 497, 474, 498, 394, 522, 362, 310, 445, 525, 358, 400, 547, 388, 467, 508, 399, 379, 547, 469, 443, 459, 417, 386, 430, 510, 419, 591, 488]",627,442,310,"[25753, 25616, 25286, 26121, 26686, 26815, 26112, 25709, 25735, 25767, 25782, 25960, 26003, 25948, 25760, 24906, 24917, 24677, 25556, 25534, 25849, 25687, 25695, 25325, 24620, 24732, 24550, 25039, 25524, 25251, 25331, 25158, 25465, 25414, 25606, 25557, 25252, 25402, 24992]",26815,25515,24550,"[98.97331167146892, 99.17957633777507, 99.16019878874806, 97.43288815031394, 97.34999455482527, 98.10769614808555, 97.37825460708723, 97.46345925605658, 97.84641311307708, 96.59574133292809, 96.54780951883909, 96.63511768217255, 98.0388225390222, 98.21218892508291, 98.09309978110188, 98.60921185800534, 98.02693384290035, 97.69126227934072, 98.78102957847615, 98.35487126498019, 98.74438919669221, 97.04209948931431, 97.97911437572873, 97.67944377529359, 97.08420659098051, 96.66601736946598, 96.50351114783507, 99.13111605036814, 99.00828848033775, 99.00505858534416, 98.55644764030973, 98.73955720468219, 98.50097674700442, 97.40715664342504, 97.29406603258121, 97.2707129570151, 95.98432128137024, 96.8331461886094, 96.8218126185205]",99.18,97.81,95.98,"[26, 37, 42, 32, 41, 46, 51, 26, 21, 90, 33, 27, 48]",90,40,21,"cpu=70 pods=6 treads=70 sc_min=14 warmup=130"
k8s_taewa_3_,12,k8s,taewa,"[389, 447, 319, 300, 435, 396, 374, 267, 472, 326, 336, 288, 280, 443, 457, 481, 376, 383, 390, 405, 446, 463, 411, 349, 436, 431, 348, 375, 450, 405, 353, 376, 385, 279, 504]",504,388,267,"[6839, 6517, 6575, 6535, 6613, 6147, 6781, 6381, 6671, 6455, 6900, 6869, 5933, 6218, 5485, 6712, 6523, 6617, 6281, 6123, 6306, 6181, 6323, 6424, 5732, 6408, 6579, 6333, 6549, 6152, 6816, 6834, 6161, 6516, 6668, 6254]",6900,6428,5485,"[98.52408263934736, 99.16664216445777, 97.5238892312824, 98.1799113613268, 98.73910087266601, 97.8378471174497, 99.75603710724234, 98.30919663413407, 99.32570311603502, 98.43525739808142, 99.47516083505235, 98.78867721540412, 95.89766038058292, 96.95877184015144, 98.32052495874001, 98.13353580210497, 97.81195757582056, 98.49650146506526, 98.29844570264443, 99.05571483331168, 97.48543473254453, 92.64942920196488, 97.89763473210958, 93.31909342109805, 99.74982717184177, 92.31193778114323, 92.18614371452963, 85.4562403080253, 94.61814402174964, 98.80920424250193, 98.91549654006057, 98.91656626173126, 98.69023355690759, 97.782204431245, 98.65823387403275, 99.1786508078846]",99.76,97.32,85.46,"[92, 79, 145, 270, 144, 236, 268, 211, 143, 241, 260, 132]",270,185,79,"cpu=70 pods=6 treads=25 sc_min=14 warmup=90"
asg_apache_3_,11,asg,apache,"[640, 681, 417, 646, 626, 667, 626, 366, 644, 655, 634, 673, 642, 682, 422, 616, 641, 621, 709, 450, 658, 716, 637, 618, 650, 689, 426, 670, 709, 689, 643, 562, 663]",716,618,366,"[64271, 64828, 64741, 54705, 54761, 54009, 54952, 54893, 54943, 53972, 53831, 53547, 51788, 51924, 51858, 55310, 55417, 55365, 61037, 60343, 61049, 59751, 61362, 61178, 59050, 59309, 59082, 49314, 48678, 48771, 65527, 64109, 65004]",65527,57233,48678,"[99.6766023267658, 99.68251893530363, 99.52957699055342, 99.58721428330178, 99.37882832079741, 99.66690606292599, 99.81497541878878, 99.81066745538965, 99.7282907940186, 99.78213077335766, 98.08878576872915, 99.70998179789511, 99.807437071403, 99.83651187937609, 99.8359739351179, 99.87366239308443, 99.84943479523258, 99.87366224882437, 99.89035255284698, 99.62166088861846, 99.87204705748884, 99.86020214937655, 99.90112057491642, 99.63350020147782, 99.73744082070978, 99.8397418849669, 99.77782341948442, 99.74121596039339, 99.72667361809424, 99.68844673479941, 99.30394078980066, 97.56813085492941, 99.13860785123023]",99.90,99.60,97.57,"[1103, 1002, 802, 901, 903, 1100, 1102, 1404, 1105, 802, 1301]",1404,1048,802,"cpu=70 pods=NA treads=70 sc_min=14 warmup=130"
asg_taewa_3_,11,asg,taewa,"[705, 751, 617, 649, 637, 684, 613, 599, 704, 652, 699, 686, 616, 603, 589, 672, 657, 642, 641, 629, 736, 641, 627, 674, 640, 627, 674, 666, 652, 639, 667, 654, 701]",751,656,589,"[6117, 6132, 6110, 5136, 5283, 5255, 6279, 6206, 6226, 6156, 6223, 6216, 6173, 6196, 6163, 6049, 6046, 5974, 6136, 6173, 6034, 5208, 5192, 5215, 6143, 6107, 6109, 6196, 6112, 6205, 6054, 6063, 6039]",6279,5968,5136,"[51.25956458909487, 51.45245075217718, 51.64145044558628, 51.24884585902692, 51.88562740582125, 51.75258738635705, 51.56839379513824, 55.605845118571374, 51.5787524162512, 51.54553985699787, 51.53165779471638, 52.094355242398926, 51.80983920854226, 52.04731316548763, 51.90417526349739, 51.301556680301786, 51.233747116457586, 51.447960356665185, 51.762916947563205, 51.82102385320447, 51.901233427630096, 51.637440594637674, 51.724359486584035, 51.60469160261197, 52.069939275307256, 51.48621695986598, 51.58364814589885, 51.87847447401443, 55.68715107009174, 51.917535341136876, 51.81694439452986, 51.72106872855326, 55.55208502219057]",55.69,52.03,51.23,"[1316, 911, 1221, 1110, 1373, 1515, 1111, 1420, 1127, 1118, 1015]",1515,1203,911,"cpu=35 pods=NA treads=25 sc_min=14 warmup=90"
asg_taewa_3extra_,9,asg,taewa,"[683, 429, 716, 659, 404, 631, 747, 732, 657, 642, 390, 616, 699, 383, 669, 644, 632, 675, 641, 628, 615, 653, 580, 628, 671, 417, 643]",747,611,383,"[1736, 1729, 1730, 1444, 1454, 1443, 1732, 1732, 1732, 1419, 1399, 1417, 1686, 1710, 1697, 1434, 1451, 1438, 1725, 1715, 1719, 1727, 1734, 1722, 1713, 1713, 1719]",1736,1625,1399,"[50.75671873067079, 50.39028644507774, 50.14800397244776, 50.71842100338324, 50.6049777648723, 50.88884056788998, 50.92111085803641, 51.005897255798935, 50.715398338743995, 54.36770157218442, 50.54264551154855, 50.469777437655786, 50.33830304266852, 50.88828575241087, 54.51651915620095, 50.72389220405893, 50.7813291829759, 50.638527601022815, 50.85110664049773, 50.67261533027897, 50.76062672707068, 50.750365748334325, 50.90906534598157, 50.91551773711989, 50.77887497472812, 50.830694427914636, 50.84396780517824]",54.52,50.99,50.15,"[1534, 1522, 1117, 1411, 1111, 1267, 1229, 1019, 818]",1534,1225,818,"cpu=35 pods=NA treads=10 sc_min=14 warmup=90"
k8s_taewa_3extra_,8,k8s,taewa,"[440, 352, 438, 508, 272, 356, 363, 371, 341, 352, 362, 398, 410, 363, 347, 300, 420, 418, 370, 321, 464, 512, 416]",512,387,272,"[1860, 1850, 1786, 1569, 1598, 1312, 1760, 1769, 1219, 1502, 1194, 1543, 1702, 1692, 1753, 1575, 1712, 1709, 1784, 1675, 1606, 1667, 1636, 1478]",1860,1623,1194,"[98.56454338596511, 97.90571145013558, 98.44767445741591, 71.1014337075771, 97.79523482038196, 83.44681944937916, 96.51934646804487, 93.1637090741162, 98.62374266287945, 84.36607512578875, 99.71321042608156, 99.25441967113024, 99.611975170787, 99.12788612807412, 97.99999591840867, 83.69617702880838, 84.12317508370495, 83.5229362145933, 98.46109671512316, 86.4166473841265, 89.9284173370984, 97.86745658215102, 84.80070067414806, 84.1406177726248]",99.71,92.02,71.10,"[104, 323, 537, 150, 137, 182, 360, 69]",537,233,69,"cpu=70 pods=6 treads=10 sc_min=14 warmup=90"
asg_raupi_3x_,8,asg,raupi,"[355, 281, 324, 234, 275, 256, 30, 304, 224, 272, 256, 297, 298, 340, 323, 248, 292, 335, 271, 336, 257, 296, 217, 258]",355,274,30,"[3056, 2905, 3028, 2820, 2746, 2782, 3129, 3063, 3218, 2816, 2869, 2913, 2928, 2947, 2997, 2918, 3009, 3045, 3039, 2980, 3011, 2965, 3056, 3023]",3218,2969,2746,"[83.10235780397507, 80.33479934963933, 82.57164060761743, 82.7374341568412, 83.71558309450496, 84.9857346568172, 82.78458314546582, 83.5495516219871, 83.42514079812679, 79.22981172772738, 82.13594792104236, 82.99457181156872, 81.27194070345615, 82.2705222832696, 82.90669997054766, 84.63288165985632, 85.85625639153155, 85.009483148725, 83.62130218670512, 81.47353594903822, 84.32668420751203, 82.6404932996641, 82.91394308825448, 85.1562905328048]",85.86,83.07,79.23,"[1008, 1502, 1417, 1213, 1002, 1316, 1214, 1431]",1502,1263,1002,"cpu=35 pods=NA treads=25 sc_min=14 warmup=90"
k8s_raupi_3_,8,k8s,raupi,"[283, 311, 451, 312, 327, 350, 379, 343, 357, 372, 512, 323, 379, 358, 252, 328, 286, 424, 278, 535, 306, 320, 441, 338]",535,357,252,"[4984, 5016, 5247, 4719, 4770, 4712, 4758, 5012, 5058, 4934, 4580, 5143, 5939, 6256, 5893, 4785, 4865, 4578, 4906, 4956, 4922, 5155, 5256, 5662]",6256,5088,4578,"[84.737882323174, 92.95658331838062, 92.84945289608356, 86.95105807046258, 89.02840928342209, 89.2586358575832, 90.44349869561209, 88.47425996396585, 89.09305647119233, 87.5114707774912, 83.76706893092349, 89.23217897219348, 94.78486058968663, 95.86604373336974, 94.93656397034624, 86.22941320090534, 87.29843297886391, 87.20361734638668, 89.4038799912726, 88.61339993448401, 89.59213043678238, 88.09995511972774, 90.49785343274043, 90.80866315198335]",95.87,89.48,83.77,"[93, 131, 253, 147, 125, 86, 164, 97]",253,137,86,"cpu=70 pods=6 treads=25 sc_min=14 warmup=90"
